Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;Java;13/02/2018 14:56;3;123558;0;112527;138688;20430;8602;nan;nan;nan
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;Java;07/05/2018 13:27;2;99662;0;137532;177862;32008;12733;nan;nan;nan
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;Java;09/08/2014 16:45;6;64732;0;265857;327294;50370;15512;3.0;1.0;2.0
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;Java;06/12/2018 08:01;2;63189;0;278403;346904;56015;16974;1.0;1.0;6.0
elastic/elasticsearch;https://github.com/elastic/elasticsearch;Java;08/02/2010 13:20;11;54096;42;2996134;3490875;466869;46029;4.0;1.0;4.0
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;Java;19/10/2012 15:02;8;53992;87;3560981;4157414;567630;48612;4.0;1.0;2.0
doocs/advanced-java;https://github.com/doocs/advanced-java;Java;06/10/2018 11:38;2;52762;0;3566658;4167264;570886;49567;nan;nan;nan
kdn251/interviews;https://github.com/kdn251/interviews;Java;14/02/2017 18:19;4;50561;0;3585965;4191201;575242;49889;1.0;1.0;5.0
macrozheng/mall;https://github.com/macrozheng/mall;Java;04/04/2018 01:11;2;47252;1;3720955;4346462;594194;54828;3.0;1.0;11.0
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;Java;08/01/2013 20:11;8;44343;215;4121988;4828602;674436;58722;1.0;1.0;1.0
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;Java;08/12/2010 04:04;10;41872;203;5290716;6209307;884541;78416;3.0;1.0;3.0
google/guava;https://github.com/google/guava;Java;29/05/2014 16:23;6;40606;31;6208361;7215149;972202;86500;2.0;1.0;2.0
square/okhttp;https://github.com/square/okhttp;Java;23/07/2012 13:42;8;39600;0;6315579;7340855;989220;87687;3.0;1.0;3.0
square/retrofit;https://github.com/square/retrofit;Java;06/09/2010 21:39;10;37716;27;6351136;7382043;994523;88140;3.0;1.0;1.0
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;Java;16/07/2016 10:21;4;36013;0;6368898;7402833;997289;88417;1.0;1.0;7.0
apache/dubbo;https://github.com/apache/dubbo;Java;19/06/2012 07:56;8;34839;28;6629807;7706676;1039208;90314;4.0;1.0;4.0
PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;Java;25/04/2014 14:29;6;32948;44;6681810;7767994;1048283;105918;5.0;1.0;5.0
bumptech/glide;https://github.com/bumptech/glide;Java;08/07/2013 22:52;7;30861;36;6776596;7877351;1062382;107816;4.0;1.0;3.0
airbnb/lottie-android;https://github.com/airbnb/lottie-android;Java;06/10/2016 22:42;4;30819;29;6829421;7935174;1066948;108448;4.0;1.0;5.0
kon9chunkit/GitHub-Chinese-Top-Charts;https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts;Java;05/09/2019 03:01;1;30671;0;6833807;7940045;1067230;108937;nan;nan;nan
Blankj/AndroidUtilCode;https://github.com/Blankj/AndroidUtilCode;Java;30/07/2016 18:18;4;29007;116;6907926;8024089;1076532;110274;2.0;1.0;3.0
zxing/zxing;https://github.com/zxing/zxing;Java;12/10/2011 14:07;9;27364;27;7110457;8235807;1085382;111608;4.0;2.0;7.0
netty/netty;https://github.com/netty/netty;Java;09/11/2010 09:22;10;26201;0;7537968;8724471;1145501;115280;4.0;1.0;3.0
crossoverJie/JCSprout;https://github.com/crossoverJie/JCSprout;Java;17/12/2017 09:06;3;25897;0;7557037;8753645;1154535;116423;1.0;1.0;2.0
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;Java;01/03/2019 03:27;2;25713;0;10249344;11868103;1524008;193447;5.0;1.0;6.0
JakeWharton/butterknife;https://github.com/JakeWharton/butterknife;Java;05/03/2013 08:18;8;25652;0;10266563;11888293;1526732;193739;2.0;1.0;1.0
proxyee-down-org/proxyee-down;https://github.com/proxyee-down-org/proxyee-down;Java;25/10/2017 10:07;3;25511;49;10275330;11898038;1527506;193951;4.0;1.0;6.0
geekxh/hello-algorithm;https://github.com/geekxh/hello-algorithm;Java;29/05/2020 05:47;0;25509;0;10296069;11928481;1535754;195761;1.0;1.0;7.0
skylot/jadx;https://github.com/skylot/jadx;Java;18/03/2013 17:08;7;25436;14;10410563;12061771;1554008;196919;3.0;1.0;2.0
eugenp/tutorials;https://github.com/eugenp/tutorials;Java;29/04/2013 18:26;7;25179;0;12347812;14183983;1727702;217164;5.0;1.0;2.0
ityouknow/spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;Java;05/11/2016 05:32;4;25041;0;12364564;14203213;1729957;217942;4.0;1.0;2.0
alibaba/arthas;https://github.com/alibaba/arthas;Java;29/08/2018 17:15;2;25000;33;12486062;14350484;1753332;220962;3.0;1.0;6.0
ctripcorp/apollo;https://github.com/ctripcorp/apollo;Java;04/03/2016 10:24;5;24069;30;12589341;14476417;1774293;223740;4.0;1.0;4.0
alibaba/druid;https://github.com/alibaba/druid;Java;03/11/2011 05:12;9;23489;41;13071651;15058785;1873714;224454;5.0;2.0;2.0
greenrobot/EventBus;https://github.com/greenrobot/EventBus;Java;16/07/2012 16:55;8;23232;5;13080895;15069814;1875237;224796;3.0;1.0;2.0
alibaba/fastjson;https://github.com/alibaba/fastjson;Java;03/11/2011 06:58;9;23135;81;13297558;15336758;1925295;225144;2.0;1.0;2.0
scwang90/SmartRefreshLayout;https://github.com/scwang90/SmartRefreshLayout;Java;02/06/2017 09:52;3;22293;8;13332667;15377043;1929866;225798;3.0;1.0;1.0
CymChad/BaseRecyclerViewAdapterHelper;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;Java;10/04/2016 07:40;4;21620;191;13345565;15392601;1932180;226184;3.0;1.0;3.0
Netflix/Hystrix;https://github.com/Netflix/Hystrix;Java;19/11/2012 20:14;8;21251;79;13417541;15477258;1944396;227205;2.0;1.0;2.0
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;Java;10/11/2017 06:27;3;20936;0;13470712;15540420;1953004;229169;4.0;1.0;1.0
zhangdaiscott/jeecg-boot;https://github.com/zhangdaiscott/jeecg-boot;Java;26/11/2018 10:40;2;20818;13;14157278;16262802;1987345;237073;4.0;1.0;3.0
lenve/vhr;https://github.com/lenve/vhr;Java;04/01/2018 08:57;3;20588;0;14189896;16298449;1989885;238005;2.0;1.0;7.0
SeleniumHQ/selenium;https://github.com/SeleniumHQ/selenium;Java;14/01/2013 21:40;8;20344;27;15319530;17610747;2133446;279468;4.0;1.0;3.0
signalapp/Signal-Android;https://github.com/signalapp/Signal-Android;Java;15/12/2011 20:01;9;20068;0;15775743;18129143;2195289;280614;5.0;1.0;4.0
hollischuang/toBeTopJavaer;https://github.com/hollischuang/toBeTopJavaer;Java;25/10/2018 09:54;2;19899;0;15787919;18149209;2202474;281348;nan;nan;nan
qiurunze123/miaosha;https://github.com/qiurunze123/miaosha;Java;14/09/2018 04:36;2;19525;0;16093262;18501737;2247922;294402;3.0;1.0;3.0
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;Java;21/10/2015 08:26;5;19444;123;16717125;19232160;2353073;296137;5.0;1.0;4.0
ReactiveX/RxAndroid;https://github.com/ReactiveX/RxAndroid;Java;19/08/2014 03:46;6;19341;18;16719851;19235711;2353644;296410;1.0;1.0;1.0
google/gson;https://github.com/google/gson;Java;19/03/2015 18:21;5;19299;0;16756990;19277846;2358330;296966;2.0;1.0;1.0
alibaba/easyexcel;https://github.com/alibaba/easyexcel;Java;06/02/2018 03:14;3;19152;1;16786830;19312512;2362814;297504;5.0;1.0;4.0
seata/seata;https://github.com/seata/seata;Java;28/12/2018 08:37;2;18915;30;17038546;19588722;2384284;301226;6.0;1.0;7.0
wuyouzhuguli/SpringAll;https://github.com/wuyouzhuguli/SpringAll;Java;02/05/2018 02:48;2;18812;0;17071149;19627936;2390219;302119;4.0;1.0;2.0
halo-dev/halo;https://github.com/halo-dev/halo;Java;21/03/2018 12:56;2;18294;68;17123067;19688999;2398897;303676;5.0;1.0;3.0
apache/kafka;https://github.com/apache/kafka;Java;15/08/2011 18:06;9;18268;0;17882419;20571951;2513547;316602;4.0;1.0;5.0
dromara/hutool;https://github.com/dromara/hutool;Java;13/04/2014 07:23;6;18262;81;18069422;20782606;2536033;319459;3.0;1.0;5.0
libgdx/libgdx;https://github.com/libgdx/libgdx;Java;10/08/2012 19:34;8;18152;7;19092243;22054982;2732573;377229;3.0;1.0;5.0
alibaba/canal;https://github.com/alibaba/canal;Java;13/01/2013 10:59;8;18115;20;19215624;22194519;2747880;378338;4.0;1.0;6.0
alibaba/spring-cloud-alibaba;https://github.com/alibaba/spring-cloud-alibaba;Java;01/12/2017 20:49;3;17941;18;19263717;22253978;2758578;379173;5.0;1.0;3.0
square/picasso;https://github.com/square/picasso;Java;14/05/2013 15:07;7;17900;7;19277000;22269543;2760602;379529;3.5;1.0;3.0
xuxueli/xxl-job;https://github.com/xuxueli/xxl-job;Java;28/11/2015 12:59;5;17596;30;19321193;22320129;2766377;380578;3.0;1.0;7.0
Baseflow/PhotoView;https://github.com/Baseflow/PhotoView;Java;17/07/2012 16:39;8;17560;5;19324415;22324270;2767037;380851;3.0;1.0;3.0
google/ExoPlayer;https://github.com/google/ExoPlayer;Java;13/06/2014 21:19;6;17401;8;19726449;22761583;2801025;387586;5.0;1.0;5.0
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;Java;22/11/2010 21:21;10;17040;89;20240101;23439248;2866287;490525;4.0;2.0;3.0
didi/DoraemonKit;https://github.com/didi/DoraemonKit;Java;14/08/2018 10:32;2;16950;3;20437309;23672545;2898487;495104;2.0;1.0;3.0
nostra13/Android-Universal-Image-Loader;https://github.com/nostra13/Android-Universal-Image-Loader;Java;27/11/2011 18:48;9;16800;0;20451332;23688502;2900181;495779;3.0;1.0;5.0
alibaba/nacos;https://github.com/alibaba/nacos;Java;15/06/2018 06:49;2;16679;35;20632687;23895773;2925071;497969;3.0;1.0;4.0
facebook/fresco;https://github.com/facebook/fresco;Java;02/03/2015 09:58;6;16510;43;21430383;25138142;3363946;507062;5.0;1.0;4.0
apache/skywalking;https://github.com/apache/skywalking;Java;07/11/2015 03:30;5;16360;43;21758772;25530864;3409551;526742;4.0;1.0;3.0
bazelbuild/bazel;https://github.com/bazelbuild/bazel;Java;12/06/2014 16:00;6;16359;97;23389553;27405370;3611002;574732;5.0;1.0;5.0
redisson/redisson;https://github.com/redisson/redisson;Java;11/01/2014 14:06;7;15938;91;23645612;27707271;3656148;575660;4.0;1.0;4.0
shuzheng/zheng;https://github.com/shuzheng/zheng;Java;04/10/2016 10:07;4;15883;0;23872867;27959304;3679661;579826;3.0;1.0;5.0
CarGuo/GSYVideoPlayer;https://github.com/CarGuo/GSYVideoPlayer;Java;13/11/2016 12:34;4;15874;23;23920300;28017415;3689171;581014;2.0;1.0;4.0
apache/flink;https://github.com/apache/flink;Java;07/06/2014 07:00;6;15757;0;26393757;30950158;4089499;646200;5.0;1.0;4.0
Tencent/tinker;https://github.com/Tencent/tinker;Java;06/09/2016 06:57;4;15689;37;26448855;31013195;4096950;646752;3.0;1.0;6.0
alibaba/Sentinel;https://github.com/alibaba/Sentinel;Java;04/04/2018 06:37;2;15549;17;26561196;31141932;4112771;647864;3.0;1.0;4.0
linlinjava/litemall;https://github.com/linlinjava/litemall;Java;22/03/2018 16:42;2;15544;8;26773414;31380063;4136543;653590;3.0;1.0;10.0
mybatis/mybatis-3;https://github.com/mybatis/mybatis-3;Java;14/02/2013 19:03;8;15228;33;26911333;31538689;4156674;655306;2.0;1.0;4.0
forezp/SpringCloudLearning;https://github.com/forezp/SpringCloudLearning;Java;08/04/2017 10:06;3;15103;0;27031523;31678941;4168345;663704;4.0;1.0;1.0
dianping/cat;https://github.com/dianping/cat;Java;05/12/2012 02:31;8;15093;0;27761164;32510140;4260293;687072;4.0;1.0;6.0
elunez/eladmin;https://github.com/elunez/eladmin;Java;14/12/2018 08:54;2;14790;6;27784311;32536205;4262923;687598;4.0;1.0;2.0
oracle/graal;https://github.com/oracle/graal;Java;14/01/2016 17:11;5;14763;32;29538090;34521961;4480984;711883;4.0;1.0;4.0
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;Java;19/08/2014 14:09;6;14752;0;29543887;34528998;4481983;712134;4.0;1.0;3.0
brettwooldridge/HikariCP;https://github.com/brettwooldridge/HikariCP;Java;08/10/2013 05:43;7;14720;0;29563346;34552191;4485472;712493;3.0;1.0;5.0
winterbe/java8-tutorial;https://github.com/winterbe/java8-tutorial;Java;16/03/2014 17:25;7;14495;0;29567352;34557642;4486703;712746;1.0;1.0;2.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;Java;24/11/2012 00:14;8;14220;0;29570228;34561444;4487375;713010;2.0;1.0;2.0
openzipkin/zipkin;https://github.com/openzipkin/zipkin;Java;06/06/2012 18:26;8;14126;62;29695644;34700640;4498993;715534;5.0;1.0;5.0
JeffLi1993/springboot-learning-example;https://github.com/JeffLi1993/springboot-learning-example;Java;06/02/2017 07:02;4;14062;0;29705561;34713092;4501252;715840;3.0;1.0;2.0
lottie-react-native/lottie-react-native;https://github.com/lottie-react-native/lottie-react-native;Java;27/01/2017 18:24;4;13929;0;29716594;34726651;4503086;716221;2.5;1.0;3.0
